"Numero sentiero tratta";"Competenza";"Denominazione";"Difficoltà";"Località inizio";"Località fine";"Quota inizio";"Quota fine";"Quota minima";"Quota massima";"Lunghezza plaminetrica";"Lunghezza inclinata";"Tempo andata";"Tempo ritorno";"Gruppo montagne interessate";"Comuni toccati";
"O101";"RIF. SAENT \"SILVIO DORIGONI\"";"SENTIERO";"EE";"RIFUGIO SAENT \"SILVIO DORIGONI\" (b.106-107)";"PASSO SAENT";2,436;2,965;2,436;2,965;2,700;2,760;"01:30";"01:10";"CEVEDALE / Sternai - Collecchio";"Rabbi";
"O102";"RIF. CEVEDALE \"GUIDO LARCHER\"";"";"EE";"CENTRALE DI MALGA MARE (b.123-127)";"RIFUGIO CEVEDALE \"GUIDO LARCHER\" (b.103-104)";1,972;2,608;1,972;2,608;4,100;4,170;"01:50";"01:20";"CEVEDALE / Cima Venezia";"Peio";
"O103";"RIF. CEVEDALE \"GUIDO LARCHER\"";"";"EE";"RIFUGIO CEVEDALE \"GUIDO LARCHER\" (b.102-104)";"LA FORCOLA";2,608;3,032;2,608;3,032;2,900;2,940;"01:20";"01:00";"CEVEDALE / Cima Venezia";"Peio";
"O104";"RIF. SAENT \"SILVIO DORIGONI\", RIF. CEVEDALE \"GUIDO LARCHER\"";"";"EE";"VAL SAENT (b.101)";"RIFUGIO CEVEDALE \"GUIDO LARCHER\" (b.102-103)";2,500;2,608;2,500;3,125;9,030;9,260;"05:45";"05:30";"CEVEDALE / Cima Venezia";"Rabbi, Peio";
"O104A";"RIF. CEVEDALE \"GUIDO LARCHER\"";"";"E";"pr. IL LAGO NERO (b.123)";"PASSERELLA SUL RIO CARESER (b.104)";2,620;2,870;2,620;2,870;2,710;2,740;"01:15";"01:00";"CEVEDALE / Cima Venezia";"Rabbi";
"O105";"RIF. VIOZ \"MANTOVA\"";"SENTIERO ATTREZZATO DEL VIOZ";"EE";"PEIO";"RIFUGIO VIOZ \"MANTOVA\"";1,579;3,520;1,579;3,520;10,200;10,410;"06:00";"04:00";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O106";"RIF. SAENT \"SILVIO DORIGONI\"";"SENTIERO DEGLI ALPINISTI";"E";"PARCHEGGIO FONTANIN AL COLER";"RIFUGIO SAENT \"SILVIO DORIGONI\" (b.101-107)";1,369;2,436;1,369;2,436;7,620;7,760;"03:30";"02:30";"CEVEDALE / Cima Venezia";"Rabbi";
"O107";"RIF. SAENT \"SILVIO DORIGONI\"";"";"E";"RIFUGIO SAENT \"SILVIO DORIGONI\" (b.101-106)";"GIOGO NERO (b.145)";2,436;2,833;2,425;2,833;3,500;3,540;"01:40";"01:20";"CEVEDALE / Sternai - Collecchio";"Rabbi";
"O108";"SEZ. SAT RABBI STERNAI";"";"E";"RABBI FONTI - chiesa";"PASSO RABBI";1,222;2,467;1,222;2,467;6,800;6,970;"04:00";"02:40";"CEVEDALE / Sternai - Collecchio";"Rabbi";
"O109";"SEZ. SAT PEIO, SEZ. SAT RABBI STERNAI";"SENTIERO DI PASSO CERCEN";"E";"CELLEDIZZO - presso la chiesa";"PARCHEGGIO FONTANON (b.172)";1,185;1,549;1,185;2,623;13,790;14,080;"06:00";"05:40";"CEVEDALE / Vegaia - Tremenesca";"Peio, Rabbi";
"O109B";"SEZ. SAT PEIO";"SENTIERO DEGLI ALPINISTI";"E";"COGOLO";"QUOTA 1375 (b.109)";1,157;1,375;1,157;1,375;1,600;1,620;"00:35";"00:20";"CEVEDALE / Vegaia - Tremenesca";"Peio";
"O110";"SEZ. SAT PEIO";"SENTIERO  DI PIAN PALU' E DELLA SFORZELLINA";"E";"MALGA TERMENAGO BASSA - parcheggio (b.124)";"PASSO DELLA SFORZELLINA";1,520;3,005;1,520;3,005;13,300;13,510;"05:50";"04:40";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O110B";"SEZ. SAT PEIO";"SENTIERO DELLE CARBONAIE";"E";"FONTANINO DI CELENTINO (b.110)";"MALGA PALUDEI (b.124-141)";1,676;2,106;1,676;2,106;4,700;4,750;"02:10";"01:40";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O111";"SEZ. SAT VERMIGLIO, SEZ. SAT PEIO";"";"E";"PASSO DEL TONALE";"LAGO DI PIAN PALU' (b.110)";1,883;1,815;1,815;2,681;13,730;13,930;"05:15";"05:20";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio, Peio";
"O111A";"SEZ. SAT VERMIGLIO";"";"T";"PASSO DEL TONALE";"OSPIZIO SAN BARTOLOMEO (b.111-160)";1,883;1,971;1,883;1,971;1,240;1,250;"00:20";"00:15";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio";
"O111B";"SEZ. SAT PEIO";"";"E";"QUOTA 2058 (b.137)";"QUOTA 2100 (b.111)";2,058;2,100;2,058;2,100;1,500;1,510;"00:30";"00:20";"CEVEDALE / Boai - Redival - Albiolo";"Peio";
"O112";"SEZ. SAT BRESIMO";"";"E";"MALGA BORDOLONA DI SOTTO (b.136)";"PASSO DI VAL CLAPA - bivio 16-AVS";1,806;2,296;1,806;2,296;2,400;2,470;"01:30";"01:00";"MADDALENE / Binasia - Monte Pin";"Bresimo";
"O113";"SEZ. SAT RUMO";"";"EE";"LANZA - frazione di Rumo";"CIMA DEGLI OLMI - ILMENSPITZ (b.113A)";1,111;2,656;1,111;2,656;7,600;7,800;"04:30";"03:30";"MADDALENE / Stubele - Olmi - Luco";"Rumo";
"O113A";"SEZ. SAT RUMO";"";"EE";"BAGNI DI MOCENIGO - Rumo (b.134)";"CIMA DEGLI OLMI - ILMENSPITZ (b.113)";1,049;2,656;1,049;2,656;7,200;7,410;"05:00";"03:40";"MADDALENE / Stubele - Olmi - Luco";"Rumo";
"O113B";"SEZ. SAT RUMO";"";"E";"CRESTA E DELLE SLAVAZZAIE (b.133)";"QUOTA 2128 (b.113A)";2,070;2,128;2,070;2,128;1,790;1,800;"00:40";"00:40";"MADDALENE / Stubele - Olmi - Luco";"Rumo";
"O114";"SEZ. SAT FONDO";"";"E";"MALGA DI BREZ - Malga di Monte Ori";"PRA' DEL SIGNOR (b.157)";1,845;1,785;1,780;1,845;3,900;3,920;"01:30";"01:30";"MADDALENE / Stubele - Olmi - Luco";"Castelfondo, Brez";
"O115";"SEZ. SAT BRESIMO";"";"E";"PONT DELLE POIE";"PASSO LAINERT (b.133B)";1,199;2,216;1,199;2,216;6,500;6,630;"03:10";"02:20";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo";
"O115A";"SEZ. SAT BRESIMO";"";"E";"MALGA LARESE' DI SOPRA (b.117)";"QUOTA 2140 (b.115)";2,028;2,140;2,028;2,140;1,740;1,750;"01:00";"00:40";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo";
"O115B";"SEZ. SAT BRESIMO";"";"E";"VAL MALGAZZA (b.115)";"MALGA PREGHENA DI SOTTO (b.118A-133B)";1,601;1,925;1,601;1,925;2,510;2,540;"01:00";"00:40";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo";
"O116";"SEZ. SAT RABBI STERNAI";"";"EE";"pr. MALGA SALECI BASSA (b.120)";"MALGA SORA SAS (b.121)";1,735;2,207;1,735;2,338;4,210;4,310;"02:40";"02:20";"CEVEDALE / Vegaia - Tremenesca";"Rabbi";
"O117";"SEZ. SAT BRESIMO, SEZ. SAT MAGRAS";"";"E";"BRESIMO - presso la Rotonda";"ARNAGO - chiesa di San Romedio";1,056;835;835;2,331;14,590;14,920;"06:40";"07:00";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo, Malè";
"O117A";"SEZ. SAT MALÈ";"";"EE";"TERZOLAS - piazza Torraccia";"CIMA VESE (b.133B)";730;2,400;730;2,400;4,820;5,140;"05:00";"03:30";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Malè";
"O117B";"SEZ. SAT MAGRAS";"SENTIERO CROZ PONTARA";"E";"MASI DI ZORA o MASI DI SOPRA (b.117)";"QUOTA 1966 (b.117)";1,397;1,966;1,397;1,983;5,390;5,460;"02:15";"01:50";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Malè";
"O118";"SEZ. SAT RUMO";"";"EE";"pr. PASSO PALU' (b.133)";"PASS DE L'OM (b. 117-133B)";2,350;2,331;2,331;2,583;6,700;6,780;"04:40";"04:40";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo, Rabbi";
"O118A";"GRUPPO SAT LIVO (Sez. Rumo)";"";"E";"MALGA PREGHENA SOTTO (b.115B-133B)";"SELLA DI ZOCCOLO (b.118)";1,925;2,424;1,925;2,424;3,200;3,250;"01:40";"01:10";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo";
"O119";"SEZ. SAT MALÈ";"";"E";"MALE'";"CRESTA SE SASS DE L'ANEL (b.120)";736;2,360;736;2,367;9,590;9,810;"05:50";"04:10";"CEVEDALE / Vegaia - Tremenesca";"Malè";
"O119B";"SEZ. SAT MALÈ";"";"E";"MAS DE MEZ";"MAS DE LA CROS (b.119)";1,317;1,601;1,317;1,601;1,100;1,140;"00:45";"00:30";"CEVEDALE / Vegaia - Tremenesca";"Malè";
"O120";"SEZ. SAT RABBI STERNAI, SEZ. SAT MALÈ";"";"E";"PRACORNO";"MONCLASSICO - chiesa di San Vigilio";860;780;780;2,527;16,750;17,170;"08:15";"08:30";"CEVEDALE / Vegaia - Tremenesca";"Rabbi, Malè";
"O121";"SEZ. SAT RABBI STERNAI, SEZ. SAT ALTA VAL DI SOLE";"SENTIERO ATTREZZATO DI VALORZ SAA - EE";"EE";"SAN BERNARDO";"RONCIO - frazione di Mezzana";1,098;1,095;1,095;2,694;16,280;16,690;"08:10";"08:10";"CEVEDALE / Vegaia - Tremenesca";"Rabbi, Mezzana";
"O121A";"SEZ. SAT ALTA VAL DI SOLE";"";"E";"MALGA STABLI - parcheggio";"ALTA VAL DEL PORE' (b.121)";1,790;2,380;1,790;2,380;4,790;4,840;"02:10";"01:30";"CEVEDALE / Vegaia - Tremenesca";"Mezzana";
"O122";"SEZ. SAT PEIO";"";"EE";"pr. PIAN VEGAIA - ruderi fortino (b.124)";"FRONTE VEDRETTA DEGLI ORSI";1,950;2,950;1,950;2,950;5,900;6,040;"03:00";"02:00";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O122B";"SEZ. SAT PEIO";"";"E";"VALLE DEGLI ORSI (b.122)";"VERSANTE O CIMA FRATTASECCA (b.139)";2,370;2,440;2,370;2,440;400;410;"00:20";"00:15";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O123";"RIF. CEVEDALE \"GUIDO LARCHER\"";"";"E";"CENTRALE DI MALGA MARE (b.102-127)";"VAL LAGO LUNGO (b.104)";1,972;2,637;1,972;2,637;6,490;6,580;"02:50";"02:20";"CEVEDALE / Cima Venezia";"Peio";
"O124";"SEZ. SAT PEIO";"";"E";"MALGA TERMENAGO BASSA - parcheggio (b.110)";"MALGA PALUDEI (b.110B-141)";1,520;2,106;1,520;2,106;9,100;9,180;"03:10";"02:50";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O124B";"SEZ. SAT PEIO";"";"E";"pr. DIGA DI PIAN PALU' (b.110B)";"MALGA GIUMELA (b.124)";1,820;1,947;1,820;1,947;1,000;1,010;"00:20";"00:15";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O125";"SEZ. SAT PEIO";"";"E";"DOSSO DI SAN ROCCO";"QUOTA 1794 (b.124)";1,610;1,794;1,610;1,810;3,800;3,850;"01:10";"01:05";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O126";"SEZ. SAT PEIO, SEZ. SAT VERMIGLIO";"";"EE";"COGOLO";"FRAVIANO";1,142;1,260;1,142;2,588;14,790;15,100;"06:30";"06:30";"CEVEDALE / Boai - Redival - Albiolo";"Peio, Vermiglio";
"O126B";"SEZ. SAT VERMIGLIO";"";"E";"SS 42 DEL TONALE - km 157";"VAL SAVIANA (b.126)";1,328;2,020;1,328;2,020;3,800;3,870;"02:00";"01:30";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio";
"O127";"SEZ. SAT PEIO";"";"E";"COVEL - Rio Vioz (b.125)";"CENTRALE DI MALGA MARE (b.102-123)";1,802;1,972;1,802;2,000;9,800;9,880;"03:10";"03:00";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O128";"SEZ. SAT RABBI STERNAI";"";"E";"DOS DE LA CROS (b.106)";"VAL SAENT (b.106)";1,799;2,360;1,799;2,360;4,000;4,070;"02:10";"01:40";"CEVEDALE / Cima Venezia";"Rabbi";
"O129";"SEZ. SAT PEIO";"SENTIERO DELLA VAL CADINI";"E";"pr. PONTE SUL RIO VEGAIA (b.124)";"CROCE DEI CACCIATORI (b.127)";1,965;1,965;1,965;2,295;5,500;5,580;"03:00";"03:00";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O129B";"SEZ. SAT PEIO";"SENTIERO GOTTARDO";"T";"QUOTA 1840 (b.124)";"QUOTA 2040 (b.129)";1,840;2,040;1,840;2,040;1,500;1,530;"00:50";"00:40";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O130";"SEZ. SAT RABBI STERNAI";"";"E";"LE PLAZETE (b.108)";"LAGHETTO DEL RIFUGIO (b.107)";1,599;2,425;1,599;2,425;10,030;10,080;"04:00";"03:00";"CEVEDALE / Sternai - Collecchio";"Rabbi";
"O131";"SEZ. SAT BRESIMO, SEZ. SAT RUMO";"";"E";"BEVIA DI BRESIMO (b.149)";"MALGA LAVAZZE' (b.134-147)";1,036;1,639;1,036;2,420;10,810;11,080;"05:30";"05:00";"MADDALENE / Binasia - Monte Pin";"Bresimo, Rumo";
"O131B";"SEZ. SAT BRESIMO";"";"E";"MALGA BINASIA DI SOPRA - Bivacco (b.133)";"BAIT DEI VACIAR (b.131)";2,138;2,305;2,138;2,305;1,500;1,510;"00:40";"00:30";"MADDALENE / Binasia - Monte Pin";"Bresimo";
"O132";"SEZ. SAT PEIO, SEZ. SAT RABBI STERNAI";"";"E";"CELENTINO";"LA PALINA (b.109)";1,280;2,280;1,280;2,730;8,900;9,180;"05:20";"04:30";"CEVEDALE / Vegaia - Tremenesca";"Peio, Rabbi";
"O133";"SEZ. SAT PEIO, SEZ. SAT RUMO, SEZ. SAT BRESIMO, SEZ. SAT RABBI STERNAI";"";"E";"DORSALE S  MONTE LUCO - b.10A-AVS (b.158)";"PENASA";2,160;1,216;1,216;2,412;36,720;37,240;"016:00";"017:00";"CEVEDALE / Corno Tre Signori - San Matteo, MADDALENE / Stubele - Olmi - Luco";"Peio, Fondo, Rumo, Bresimo, Rabbi, Castelfondo";
"O133A";"SEZ. SAT RABBI STERNAI";"SENTIERO";"E";"PARCHEGGIO CAVALAR (b.108)";"MALGA PALU' (b.133)";1,470;2,088;1,460;2,088;3,160;3,260;"02:10";"01:30";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Rabbi";
"O133B";"GRUPPO SAT LIVO (Sez. Rumo), SEZ. SAT BRESIMO";"SENTIERO TRAVERSATA MADDALENE SUD";"E";"CIS";"MALGA BORDOLONA DI SOPRA (b.133-136)";728;2,084;728;2,400;17,940;18,200;"09:15";"08:00";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Cis, Caldes, Bresimo, Malè";
"O134";"SEZ. SAT RUMO";"";"EE";"BAGNI DI MOCENIGO - Rumo (b.113A)";"CIMA STUBELE";1,049;2,671;1,049;2,671;9,000;9,180;"05:00";"03:30";"MADDALENE / Stubele - Olmi - Luco";"Rumo";
"O135";"SEZ. SAT RABBI STERNAI";"";"E";"PASSO PALU' (b.133)";"pr. RIFUGIO STELLA ALPINA LAGO CORVO (b.108)";2,412;2,410;2,410;2,510;3,790;3,820;"01:50";"01:50";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Rabbi";
"O136";"SEZ. SAT BRESIMO";"";"E";"MALGA BORDOLONA DI SOTTO (b.112)";"PASSO ALPLANER - bivio 12 e 14A-AVS";1,806;2,424;1,806;2,424;3,700;3,760;"02:00";"01:30";"MADDALENE / Tuatti - Castel Pagano - Le Mandrie";"Bresimo";
"O137";"SEZ. SAT VERMIGLIO, SEZ. SAT PEIO";"";"EE";"SS 42 DEL TONALE - km 153,4";"MALGA DI CELENTINO (b. 110-144)";1,587;1,830;1,587;2,848;12,880;13,130;"06:00";"05:50";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio, Peio";
"O137A";"SEZ. SAT VERMIGLIO";"";"E";"VAL STRINO (b.137)";"CITTA' MORTA (b.161)";2,208;2,500;2,208;2,500;1,300;1,340;"00:45";"00:30";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio";
"O137B";"SEZ. SAT VERMIGLIO";"";"E";"QUOTA 2300 (b.137A)";"QUOTA 2530 (b.161)";2,300;2,530;2,300;2,530;800;840;"00:40";"00:30";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio";
"O138";"SEZ. SAT PEIO";"";"EE";"RISTORANTE DOSS DEI GEMBRI";"CROZI DI TAVIELA - Peio 3000 ex Rifugio";2,300;2,985;2,300;2,985;3,300;3,380;"02:10";"01:30";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O139";"SEZ. SAT PEIO";"SENTIERO DEI TEDESCHI";"EE";"QUOTA 2480 (b.105)";"VALLE DEGLI ORSI (b.122)";2,480;2,550;2,375;2,550;8,600;8,670;"03:00";"03:00";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O139B";"SEZ. SAT PEIO";"";"E";"ALTA VAL CADINI (b.129)";"pr. COLEM (b.139)";2,295;2,405;2,295;2,405;500;520;"00:20";"00:15";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O140";"SEZ. SAT PEIO";"";"E";"MALGA LEVI (b.109)";"CRESTA \"LE LAME\" (b.123)";2,015;2,430;2,015;2,430;7,000;7,070;"02:45";"02:20";"CEVEDALE / Cima Venezia";"Peio";
"O140B";"SEZ. SAT PEIO";"";"E";"MALGA PONTEVECCHIO";"QUOTA 2262 (b.109)";1,762;2,262;1,762;2,262;4,750;4,810;"01:50";"01:15";"CEVEDALE / Cima Venezia";"Peio";
"O141";"SEZ. SAT PEIO";"";"E";"SALINE (b.124)";"MALGA PALUDEI (b.110B-124)";2,068;2,106;2,068;2,455;4,800;4,890;"02:15";"02:10";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O141A";"SEZ. SAT PEIO";"";"E";"VALPIANA (b.141)";"PASSERELLA TORRENTE NOCE (b.110)";2,400;2,330;0;2,400;2,300;2,330;"00:45";"00:50";"CEVEDALE / Corno Tre Signori - San Matteo";"Peio";
"O142";"SEZ. SAT RUMO";"";"E";"PONT DAL VAT (b.113)";"MALGA CEMIGLIO DI FUORI - ruderi (b.133)";1,256;1,810;1,256;1,810;2,300;2,390;"01:50";"01:20";"MADDALENE / Stubele - Olmi - Luco";"Rumo";
"O144";"SEZ. SAT PEIO, SEZ. SAT VERMIGLIO";"";"E";"MALGA DI CELENTINO (b.110-137)";"VAL SAVIANA (b.126)";1,830;2,157;1,830;2,716;7,160;7,340;"03:30";"03:00";"CEVEDALE / Boai - Redival - Albiolo";"Peio, Vermiglio";
"O144A";"SEZ. SAT PEIO";"";"E";"VAL PUDRIA - conca superiore (b.144)";"VAL COMICIOLO (b.137)";2,274;2,360;2,274;2,460;2,300;2,330;"01:00";"00:50";"CEVEDALE / Boai - Redival - Albiolo";"Peio, Vermiglio";
"O145";"SEZ. SAT RABBI STERNAI";"SENTIERO DEL COLLECCHIO";"E";"RIFUGIO STELLA ALPINA LAGO CORVO (b.108)";"GIOGO NERO (b.107)";2,425;2,833;2,425;2,994;4,580;4,660;"02:20";"02:00";"CEVEDALE / Sternai - Collecchio";"Rabbi";
"O146";"RIF. CEVEDALE \"GUIDO LARCHER\"";"";"E";"PIAN VENEZIA (b.102)";"VAL LAGO LUNGO (b.104)";2,260;2,637;2,260;2,637;2,400;2,440;"01:15";"01:00";"CEVEDALE / Cima Venezia";"Peio";
"O147";"SEZ. SAT RUMO";"";"E";"CORTE INFERIORE - frazione di Rumo";"MALGA LAVAZZE' (b.131-134)";1,025;1,639;1,025;1,750;11,800;11,920;"05:15";"04:50";"MADDALENE / Stubele - Olmi - Luco";"Rumo";
"O148";"SEZ. SAT RUMO";"";"E";"FONTANE - ponte sul Torrente Lavazzè (b.134)";"MALGA STABLEI (b.149)";1,099;1,764;1,099;1,764;2,300;2,400;"01:50";"01:10";"MADDALENE / Binasia - Monte Pin";"Rumo";
"O149";"GRUPPO SAT LIVO (Sez. Rumo)";"";"E";"BEVIA DI BRESIMO (b.131)";"COSTA POZON (b.133)";1,055;2,110;1,055;2,216;10,200;10,350;"06:00";"04:50";"MADDALENE / Binasia - Monte Pin";"Bresimo, Rumo";
"O152";"SEZ. SAT VERMIGLIO";"";"E";"CUSIANO";"MALGA CAMPO (b.132)";941;1,979;941;2,067;6,900;7,070;"03:50";"03:00";"CEVEDALE / Vegaia - Tremenesca";"Vermiglio";
"O157";"SEZ. SAT FONDO";"";"T";"REGOLA - Ristorante Arnica";"PASSO CASTRIN - bivio 24-AVS (b.133)";1,248;1,785;1,248;1,785;7,800;7,850;"02:40";"02:10";"MADDALENE / Stubele - Olmi - Luco";"Castelfondo";
"O160";"SEZ. SAT VERMIGLIO";"";"E";"OSPIZIO SAN BARTOLOMEO (b.111-111A)";"QUOTA 2135 (b. 137)";1,971;2,135;1,971;2,135;4,950;5,000;"02:00";"01:50";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio";
"O161";"SEZ. SAT VERMIGLIO";"";"E";"ROCK GLACIER (b.111)";"QUOTA 2545 (b.137)";2,140;2,545;2,140;2,656;4,390;4,540;"02:30";"02:20";"CEVEDALE / Boai - Redival - Albiolo";"Vermiglio";
"O171";"SEZ. SAT RABBI STERNAI";"";"EE";"PONTIN - parcheggio Valorz (b.121)";"pr. MALGA SORA SAS (b.121)";1,246;2,230;1,246;2,450;6,540;6,730;"04:30";"03:40";"CEVEDALE / Vegaia - Tremenesca";"Rabbi";
"O171A";"SEZ. SAT RABBI STERNAI";"";"E";"DOS DI MASETTI (b.121)";"VALEN (b.171)";1,210;1,330;1,210;1,330;350;380;"00:20";"00:10";"CEVEDALE / Vegaia - Tremenesca";"Rabbi";
"O172";"SEZ. SAT RABBI STERNAI";"";"E";"PARCHEGGIO FONTANON (b.109)";"CAMPO SECCO (b.171)";1,549;2,326;1,549;2,326;4,650;4,740;"02:30";"01:50";"CEVEDALE / Vegaia - Tremenesca";"Rabbi";
"O172A";"SEZ. SAT RABBI STERNAI";"";"E";"LA CROS - Val Cercen";"QUOTA 1710 (b.172)";1,428;1,710;1,428;1,710;1,250;1,290;"00:45";"00:30";"CEVEDALE / Vegaia - Tremenesca";"Rabbi";
"O201";"SEZ. SAT PINZOLO - ALTA RENDENA, SEZ. SAT DIMARO, SEZ. SAT ALTA VAL DI SOLE";"";"E";"PASSO CAMPO CARLO MAGNO - Hotel Maribel";"QUOTA 1881 - in Val Lores (b.202)";1,678;1,881;1,678;2,101;9,000;9,080;"03:10";"02:45";"PRESANELLA / Giner - Nambino - Serodoli";"Pinzolo, Mezzana, Commezzadura";
"O202";"SEZ. SAT ALTA VAL DI SOLE";"";"E";"MARILLEVA 1400";"BASSETTA DI VIGA (b.201)";1,391;2,101;1,391;2,155;6,790;6,890;"02:40";"02:10";"PRESANELLA / Giner - Nambino - Serodoli";"Commezzadura, Pinzolo";
"O202A";"SEZ. SAT DIMARO";"SENTIERO \"AMEDEO CATTURANI\"";"E";"QUOTA 2122 (b.202)";"QUOTA 2151 (b.267A)";2,122;2,151;2,122;2,151;1,470;1,480;"00:45";"00:45";"PRESANELLA / Giner - Nambino - Serodoli";"Pinzolo";
"O203";"SEZ. SAT ALTA VAL DI SOLE, SEZ. SAT PINZOLO - ALTA RENDENA";"";"E";"MALGA FAZZON";"LAGO SERODOLI (b.217-232)";1,279;2,370;1,279;2,515;10,200;10,350;"04:30";"03:50";"PRESANELLA / Giner - Nambino - Serodoli";"Pellizzano, Pinzolo";
"O204";"SEZ. SAT ALTA VAL DI SOLE";"";"E";"SANT'ANTONIO - Valpiana";"LAGO DI BARCO (b.205)";1,203;1,903;1,203;1,903;7,300;7,370;"02:45";"02:10";"PRESANELLA / Presena - Presanella - Scarpacò";"Ossana, Vermiglio";
"O205";"SEZ. SAT VERMIGLIO";"";"E";"CORTINA - Vermiglio";"LAGO PICCOLO";1,111;2,313;1,111;2,313;6,500;6,630;"04:10";"02:40";"PRESANELLA / Presena - Presanella - Scarpacò";"Vermiglio";
"O206";"RIF. STAVEL \"FRANCESCO DENZA\"";"SENTIERO DELLA SCALAZA";"EE";"STAVEL - bivio strada Velon";"MORENA VEDRETTA PRESANELLA";1,234;2,700;1,234;2,700;8,600;8,770;"04:10";"03:00";"PRESANELLA / Presena - Presanella - Scarpacò";"Vermiglio";
"O207";"SEZ. SAT VAL GENOVA";"SENTIERO DI VAL FOLGORIDA";"EE";"CASCINA MUTA";"PASSO DELLE TOPETTE";1,397;2,899;0;2,899;7,500;7,690;"05:10";"03:20";"ADAMELLO/ Carè Alto - Lares - Monte Ospedale";"Strembo";
"O209";"SEZ. SAT VERMIGLIO, RIF. MANDRON \"CITTA' DI TRENTO\"";"SENTIERO ATTREZZATO DEL PASSO MAROCCARO SAA - EE";"EE";"PASSO PARADISO - o Monticello (b.281)";"RIFUGIO MANDRON - CITTA DI TRENTO (b.212-236)";2,585;2,442;2,442;2,974;5,200;5,320;"02:30";"02:40";"ADAMELLO / Mandron - Lobbia - Buciaga";"Vermiglio, Spiazzo";
"O210";"SEZ. SAT PINZOLO - ALTA RENDENA";"";"E";"VAL DI GENOVA";"BIVACCO PRESANELLA \"V. ROBERTI\" (b.219)";910;2,204;910;2,204;4,600;4,800;"03:40";"02:30";"PRESANELLA / Presena - Presanella - Scarpacò";"Giustino";
"O211";"SEZ. SAT PINZOLO - ALTA RENDENA, RIF. VAL D'AMOLA \"GIOVANNI SEGANTINI\"";"";"E";"PONTE SARCA NAMBRONE - SS 239 km 27,4";"RIFUGIO \"GIOVANNI SEGANTINI\" (b.211B-216-219)";948;2,373;948;2,373;8,990;9,160;"04:20";"03:00";"PRESANELLA / Presena - Presanella - Scarpacò";"Giustino, Carisolo";
"O211B";"RIF. VAL D'AMOLA \"GIOVANNI SEGANTINI\"";"SENTIERO \"MICHELE MATTASOGLIO\"";"E";"PONTE SUL SARCA D'AMOLA  (b.211)";"RIFUGIO \"GIOVANNI SEGANTINI\" (b.211-216-219)";2,000;2,373;2,000;2,373;2,800;2,830;"01:10";"00:50";"PRESANELLA / Presena - Presanella - Scarpacò";"Giustino";
"O212";"RIF. MANDRON \"CITTA' DI TRENTO\"";"SENTIERO DEL MANDRON";"E";"RIFUGIO \"ADAMELLO COLLINI\" - Bedole (b.241)";"RIFUGIO MANDRON (b.209-236)";1,641;2,442;1,641;2,442;4,800;4,890;"02:20";"01:30";"PRESANELLA / Presena - Presanella - Scarpacò";"Spiazzo";
"O213";"RIF. CARÈ ALTO \"DANTE ONGARI\"";"";"EE";"PIAN DELLA SEGA - in Val Borzago";"RIF. CARE' ALTO \"D. ONGARI\" (b.213A-215-222)";1,250;2,450;1,250;2,450;5,200;5,360;"03:30";"02:20";"ADAMELLO/ Carè Alto - Lares - Monte Ospedale";"Pelugo";
